cod_mpio,nombre,departamento,subregion_pdet,area_km2,n_google,n_microsoft,area_google_m2,area_ms_m2,densidad_google,densidad_ms
27745,SIPÍ,CHOCÓ,CHOCÓ,1594.65032705,1,719,9.87,65093.28,0.0006270967264967332,0.45088254635115116
27800,UNGUÍA,CHOCÓ,CHOCÓ,1219.02818679,5419,3666,452993.09,361042.61,4.445344298616716,3.0073135631535117
41020,ALGECIRAS,HUILA,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,594.50992117,12342,6109,1130883.83,793079.44,20.759956327912665,10.275690585579198
44090,DIBULLA,LA GUAJIRA,SIERRA NEVADA - PERIJÁ,1828.08208878,22852,7699,1308356.23,783634.18,12.50053273879547,4.2115176595478
44279,FONSECA,LA GUAJIRA,SIERRA NEVADA - PERIJÁ,493.68378075,23640,11449,1707893.1,1490939.94,47.88490309340591,23.190958355177845
44650,SAN JUAN DEL CESAR,LA GUAJIRA,SIERRA NEVADA - PERIJÁ,1366.96961742,28571,12484,2023101.67,1657748.99,20.900976609798043,9.132609709030792
47001,SANTA MARTA,MAGDALENA,SIERRA NEVADA - PERIJÁ,2453.02237712,183317,59486,16024575.41,14061733.23,74.73107530931924,24.250084530349962
47053,ARACATACA,MAGDALENA,SIERRA NEVADA - PERIJÁ,1813.61737808,19786,8288,1715360.27,1094587.59,10.909688139924311,4.56987239986317
47189,CIÉNAGA,MAGDALENA,SIERRA NEVADA - PERIJÁ,1388.95163193,41952,21358,3969507.42,3264786.34,30.204075531201998,15.37706534123313
47288,FUNDACIÓN,MAGDALENA,SIERRA NEVADA - PERIJÁ,1011.33946668,30604,11807,2539839.04,1986314.52,30.26085800889987,11.674616079959508
50325,MAPIRIPÁN,META,MACARENA - GUAVIARE,12047.19564861,6776,1561,516069.95,185743.4,0.5624545493939754,0.12957372367237244
50330,MESETAS,META,MACARENA - GUAVIARE,2302.91758207,5796,5621,537551.94,748677.43,2.5168073947267398,2.4408168332917537
50350,LA MACARENA,META,MACARENA - GUAVIARE,8185.822182229999,9903,9990,1061536.51,1527898.35,1.2097746297858383,1.2204027619469378
50370,URIBE,META,MACARENA - GUAVIARE,6522.574573649999,3567,5244,296075.23,599662.36,0.5468699452529103,0.8039770095055402
50450,PUERTO CONCORDIA,META,MACARENA - GUAVIARE,1269.63346694,5894,2778,473290.63,304803.05,4.642284685678136,2.188033060199162
50577,PUERTO LLERAS,META,MACARENA - GUAVIARE,2560.13790699,6597,2235,577977.65,233937.07,2.57681431222438,0.8729998465698786
50590,PUERTO RICO,META,MACARENA - GUAVIARE,3442.0088476700003,9293,3506,751309.56,338918.48,2.6998768484545623,1.0185912224988374
50711,VISTAHERMOSA,META,MACARENA - GUAVIARE,4865.09913279,12235,8427,1081953.52,992206.73,2.514851119381727,1.7321332556624285
52079,BARBACOAS,NARIÑO,PACÍFICO Y FRONTERA NARIÑENSE,2739.06886292,6225,5437,448534.61,490651.5,2.272670134099441,1.98498112756605
52233,CUMBITARA,NARIÑO,ALTO PATÍA Y NORTE DEL CAUCA,356.52794768,5353,3532,356610.16,330312.76,15.014250733590625,9.906656751549054
52250,EL CHARCO,NARIÑO,PACÍFICO Y FRONTERA NARIÑENSE,2500.31905805,5211,5584,368178.14,539160.99,2.084134016105953,2.2333149771513416
52256,EL ROSARIO,NARIÑO,ALTO PATÍA Y NORTE DEL CAUCA,522.52179301,7598,4333,450991.27,383754.07,14.54102030124242,8.292477094667467
52390,LA TOLA,NARIÑO,PACÍFICO Y FRONTERA NARIÑENSE,417.26394362999997,1887,1268,148435.94,129214.89,4.522317417565457,3.038843924468998
52405,LEIVA,NARIÑO,ALTO PATÍA Y NORTE DEL CAUCA,311.86440905,6096,3492,393389.34,360098.56,19.54695637943941,11.19717383152927
52418,LOS ANDES,NARIÑO,ALTO PATÍA Y NORTE DEL CAUCA,960.2348877200001,7190,4047,418069.04,407736.54,7.487751269975279,4.214593795492344
52427,MAGÜÍ,NARIÑO,PACÍFICO Y FRONTERA NARIÑENSE,1813.5057899,2549,2203,234862.83,244517.95,1.4055648535539311,1.2147741751193843
52473,MOSQUERA,NARIÑO,PACÍFICO Y FRONTERA NARIÑENSE,770.11619591,520,1219,34164.34,112522.68,0.6752227816551076,1.5828780208414928
52490,OLAYA HERRERA,NARIÑO,PACÍFICO Y FRONTERA NARIÑENSE,1005.97902138,1210,3483,73111.03,355828.72,1.2028083829622256,3.4622988412044893
52520,FRANCISCO PIZARRO,NARIÑO,PACÍFICO Y FRONTERA NARIÑENSE,526.1203289800001,546,1323,33585.88,119099.62,1.0377854074913644,2.514633871998306
52540,POLICARPA,NARIÑO,ALTO PATÍA Y NORTE DEL CAUCA,435.99898385,7631,4629,506819.27,472816.69,17.502334369259334,10.616997221242492
52612,RICAURTE,NARIÑO,PACÍFICO Y FRONTERA NARIÑENSE,1058.18165083,196,3524,10836.32,285703.17,0.18522339699073836,3.3302410765069492
52621,ROBERTO PAYÁN,NARIÑO,PACÍFICO Y FRONTERA NARIÑENSE,1460.8069043,364,1859,24371.21,170178.8,0.2491773546034985,1.2725843467250102
52696,SANTA BÁRBARA,NARIÑO,PACÍFICO Y FRONTERA NARIÑENSE,1229.36074269,1477,2208,103998.17,246065.46,1.20143742085674,1.7960553996287623
52835,SAN ANDRÉS DE TUMACO,NARIÑO,PACÍFICO Y FRONTERA NARIÑENSE,3615.50324181,49219,36208,3654557.17,4523640.78,13.613319283143525,10.014650127065986
54206,CONVENCIÓN,NORTE DE SANTANDER,CATATUMBO,960.4113988500001,14208,6577,1111937.81,789300.05,14.793660317872849,6.848106975693253
54245,EL CARMEN,NORTE DE SANTANDER,CATATUMBO,1780.89297972,8913,4103,676964.29,413691.98,5.004792596465477,2.303900372859627
54250,EL TARRA,NORTE DE SANTANDER,CATATUMBO,724.90186202,9827,7412,790463.88,861190.64,13.556317778818002,10.224832337091588
54344,HACARÍ,NORTE DE SANTANDER,CATATUMBO,430.69135245,6758,4047,494663.7,421074.18,15.691051054442873,9.396520215645207
54670,SAN CALIXTO,NORTE DE SANTANDER,CATATUMBO,409.333209,7744,4396,540325.38,440168.12,18.91857252168367,10.739416942835927
54720,SARDINATA,NORTE DE SANTANDER,CATATUMBO,1507.6229244400001,13394,7954,1108089.82,939312.65,8.884184355962311,5.275855037130374
54800,TEORAMA,NORTE DE SANTANDER,CATATUMBO,954.9324963500001,10563,7029,884308.45,813313.67,11.061514861390233,7.360729713217073
54810,TIBÚ,NORTE DE SANTANDER,CATATUMBO,2759.3405099499996,32813,23077,2650644.55,2561860.03,11.89160956456026,8.363230241713866
70204,COLOSÓ,SUCRE,MONTES DE MARÍA,135.64989383000002,6291,1944,403964.49,181774.71,46.37674105284627,14.331010110750778
70230,CHALÁN,SUCRE,MONTES DE MARÍA,86.59732197,3148,1078,207262.55,97514.54,36.352163420140926,12.448421908167699
70418,LOS PALMITOS,SUCRE,MONTES DE MARÍA,205.58631540000002,13806,5615,859947.47,583574.9,67.15427519160644,27.31212916129728
70473,MORROA,SUCRE,MONTES DE MARÍA,175.68687185,10465,3288,658035.85,378398.27,59.56620372258054,18.71511493930672
70508,OVEJAS,SUCRE,MONTES DE MARÍA,475.90616519,16595,7400,1072783.48,728316.45,34.870319432349945,15.54928374808012
70523,PALMITO,SUCRE,MONTES DE MARÍA,180.46698609999999,8949,2924,500671.62,262040.97,49.58801714038267,16.202409444460713
70713,SAN ONOFRE,SUCRE,MONTES DE MARÍA,1072.43122787,24467,9521,1686773.44,946727.06,22.81451655281889,8.877958560485087
70823,SAN JOSÉ DE TOLUVIEJO,SUCRE,MONTES DE MARÍA,294.68229888999997,15348,4449,969634.25,461668.99,52.08320980870709,15.09761535307127
73067,ATACO,TOLIMA,SUR DEL TOLIMA,1027.52358697,5364,6825,441990.29,735392.96,5.220318120207405,6.642183290532352
73168,CHAPARRAL,TOLIMA,SUR DEL TOLIMA,2123.68023563,18704,13025,1726604.37,1888989.96,8.807352296355186,6.133220897135708
73555,PLANADAS,TOLIMA,SUR DEL TOLIMA,1769.38902525,7277,7807,540194.72,739996.84,4.112719077689442,4.412257501651982
73616,RIOBLANCO,TOLIMA,SUR DEL TOLIMA,2065.48347266,1329,5883,103228.07,547408.0,0.6434328899705348,2.848243560343609
76109,BUENAVENTURA,VALLE DEL CAUCA,PACÍFICO MEDIO,6346.22776438,98161,28450,7233297.88,7440764.1,15.4676137769521,4.482978086554612
76275,FLORIDA,VALLE DEL CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,405.05090358999996,14231,6747,1668702.76,1154121.87,35.13385570521991,16.657165655478796
76563,PRADERA,VALLE DEL CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,359.91571141000003,12963,5822,1560903.87,1238124.88,36.016766117867874,16.17600959177866
